,id,user_id,user_login,user_name,game_id,game_name,type,viewer_count,started_at,language
0,40851167005,45044816,montanablack88,MontanaBlack88,369588,Mario Kart 8,live,117207,2021-03-03T17:42:57Z,de
1,40849649389,15564828,nickmercs,NICKMERCS,512710,Call of Duty: Warzone,live,59940,2021-03-03T16:06:05Z,en
2,41291659100,39276140,rubius,Rubius,278888515,Gartic Phone,live,56199,2021-03-03T19:56:24Z,es
3,40854629293,238813810,eliasn97,eliasn97,369588,Mario Kart 8,live,49914,2021-03-03T20:49:12Z,de
4,41289687340,3389768,philza,Philza,27471,Minecraft,live,44929,2021-03-03T17:59:12Z,en
5,41291837884,51496027,loltyler1,loltyler1,21779,League of Legends,live,36102,2021-03-03T20:04:33Z,en
6,40851138077,22484632,forsen,forsen,27471,Minecraft,live,33257,2021-03-03T17:41:08Z,en
7,40850361341,36769016,timthetatman,TimTheTatman,512710,Call of Duty: Warzone,live,31079,2021-03-03T16:54:52Z,en
8,40853203101,207813352,hasanabi,HasanAbi,509658,Just Chatting,live,27620,2021-03-03T19:35:30Z,en
9,41291673436,155601320,jltomy,JLTomy,32982,Grand Theft Auto V,live,24176,2021-03-03T19:57:10Z,fr
10,40856003405,233300375,clix,Clix,33214,Fortnite,live,23105,2021-03-03T21:54:02Z,en
11,41290984540,24147592,gotaga,Gotaga,27471,Minecraft,live,22756,2021-03-03T19:16:03Z,fr
12,40855907885,94753024,mizkif,Mizkif,509658,Just Chatting,live,22726,2021-03-03T21:49:24Z,en
13,41291914508,75830338,zanoxvii,ZanoXVII,518204,FIFA 21,live,22383,2021-03-03T20:08:52Z,it
14,41291947724,90075649,illojuan,IlloJuan,278888515,Gartic Phone,live,21789,2021-03-03T20:10:53Z,es
15,41285573436,72550899,roshtein,ROSHTEIN,498566,Slots,live,20978,2021-03-03T11:46:30Z,en
16,40854831341,592288540,rollingstone,RollingStone,26936,Music,live,20110,2021-03-03T20:58:52Z,en
17,41291858620,79087140,kendinemuzisyen,KendineMuzisyen,509658,Just Chatting,live,19883,2021-03-03T20:05:40Z,tr
18,40852503965,44445592,pokimane,pokimane,516575,VALORANT,live,19444,2021-03-03T18:58:22Z,en
19,40856199149,37402112,shroud,shroud,516575,VALORANT,live,19368,2021-03-03T22:02:00Z,en
